gene	p_ebm	n_pep	abun	l2fc	color
Fignl1	5.461036054958324e-5	7	437.86184375199997	-0.6824698485028199	#FFCCCC
Fignl2	0.00675319520962856	2	181.5308225085	-0.7054156507186813	#FFCCCC
Fip1l1	0.002121800946846852	8	860.8085572749	0.3258328846715491	#CCCCFF
Fis1	0.1322934978249474	4	507.4698679331	0.19945597129287088	#C9C9C9
Fitm2	0.06142296258834059	3	317.9659964902	0.31569496346643255	#C9C9C9
Fiz1	0.6435960638098042	3	214.5450756318	-0.054699699920593634	#C9C9C9
Fjx1	0.2376115053061712	4	264.44763667579997	-0.11179883297794471	#C9C9C9
Fkbp10	4.734352336868978e-4	5	279.9012942595	0.3424369408229825	#CCCCFF
Fkbp11	1.356314280798038e-4	6	648.4406031101	0.368751911448605	#CCCCFF
Fkbp14	4.7583216059455485e-5	2	75.0477553885	0.5382642956203534	#CCCCFF
Fkbp15	0.0012970314830552574	5	901.2141421391	0.21467675637372385	#CCCCFF
Fkbp2	0.6752605323509128	6	1317.3457347250999	-0.06323381490697164	#C9C9C9
Fkbp3	7.847762515682479e-7	4	504.6044251433	-0.9103011903521225	#BB1111
Fkbp4	0.005562893987576029	6	1020.3578609683	-0.3086555347626347	#FFCCCC
Fkbp5	0.7673074640459492	6	967.6716809917	-0.016211265394771975	#C9C9C9
Fkbp7	0.05730587303460242	6	463.9774145171	0.20306715788891408	#C9C9C9
Fkbp8	0.012512529654417397	6	959.1999033836	0.26639436200348837	#CCCCFF
Fkbp9	0.014589144258499295	7	861.1046272073	0.24393862569733704	#CCCCFF
Fkbpl	5.766832056886108e-4	2	208.0296766684	-0.6771304865252654	#FFCCCC
Fkrp	1.6340753318902066e-6	2	66.8414065304	-1.286730893834731	#BB1111
Fktn	4.362620692954678e-8	5	294.142606134	-1.511626306920085	#BB1111
Flad1	0.0025551472659311853	3	151.9594025977	-0.3897937199223802	#FFCCCC
Flcn	0.011487581150961292	5	414.0982025345	-0.19286158805016243	#FFCCCC
Flii	0.0036963644193103037	5	265.225086652	-0.4034763494131959	#FFCCCC
Flna	5.754094789212854e-6	7	892.6456732875	-0.6004368578266102	#FFCCCC
Flnb	7.814753560451711e-4	6	547.0091296587	-0.3462977051457755	#FFCCCC
Flnc	0.04407886184161951	5	788.7215249306	-0.12135712047573492	#FFCCCC
Flot1	0.04628424515048485	6	509.9815788014	0.19887110321077922	#CCCCFF
Flot2	0.17189941721057425	5	167.1618597314	0.08064051984644652	#C9C9C9
Flvcr1	0.003337699867244746	5	235.7497915559	0.34779325140556827	#CCCCFF
Flywch1	3.7733298013153553e-4	5	379.9547511645	0.34539187796089704	#CCCCFF
Flywch2	3.0065458422447383e-7	5	366.3716570275	-1.092107729347209	#BB1111
Fmc1	5.99176618071657e-4	2	93.95864978190001	0.36041183987220304	#CCCCFF
Fmnl1	5.941770499056192e-4	4	320.8338512488	-0.28491646574885043	#FFCCCC
Fmnl2	0.6355601151715838	10	628.1314080411	-0.07065251222908744	#C9C9C9
Fmnl3	0.04485184644159885	4	262.6630650286	-0.23832559068089898	#FFCCCC
Fmr1	0.15246540080944276	5	276.6505758942	-0.00538093853200165	#C9C9C9
Fn1	1.4773569933699368e-6	6	494.50969171730003	0.6942341366409306	#1111BB
Fn3krp	2.3402148420262118e-8	6	503.82707774979997	-1.1504421965158371	#BB1111
Fnbp1	3.8151020806765525e-8	7	641.1558804582	-0.9435618479290261	#BB1111
Fnbp1l	2.41664561436563e-7	7	731.1718683815	-0.8335937227163185	#BB1111
Fnbp4	0.006855208962916447	4	297.6848188714	0.28960838520302906	#CCCCFF
Fndc3a	8.11936260179592e-5	8	853.5137967793	0.46437494162472104	#CCCCFF
Fndc3b	0.0044775913901073236	6	435.8503637497	0.2709004059959318	#CCCCFF
Fnip1	0.003993541142742387	2	44.2762878787	-0.4197074505631666	#FFCCCC
Fnip2	0.73135838308137	1	39.889894753200004	-0.08149117311854016	#C9C9C9
Fnta	1.0199955015708583e-7	3	284.2503263469	-1.3717578876562915	#BB1111
Fntb	5.1032068407594304e-8	5	285.8076697478	-1.259446631524496	#BB1111
Focad	4.3513550611176046e-7	4	228.2066922854	-1.0590169930430051	#BB1111
Folr1	0.11453855355057566	3	276.1173358137	0.19430670896424115	#C9C9C9
Fos	5.601431095599493e-7	2	113.62753980209999	1.0491765369572317	#1111BB
Fosl2	7.237566045983157e-8	6	444.138753303	0.9343194484197805	#1111BB
Foxa1	0.3489376393166209	1	33.2532769347	0.17089468770520763	#C9C9C9
Foxj2	0.0061024966709478995	1	39.4640956267	-0.8370987320896105	#FFCCCC
Foxj3	3.2466286784996423e-4	4	274.3076124837	-0.7077402961136056	#FFCCCC
Foxk1	0.02239731970463173	7	464.416251138	-0.25758173826791514	#FFCCCC
Foxk2	0.5362283615351702	3	116.9735710854	0.05983949062914238	#C9C9C9
Foxm1	0.12713303443428073	2	47.2643001225	-0.2551765166361355	#C9C9C9
Foxn2	0.2634696815119137	2	126.66682814079999	0.07356984267717773	#C9C9C9
Foxn3	0.09309710740797726	4	185.7674472516	0.008499717858496016	#C9C9C9
