gene	p_ebm	n_pep	abun	l2fc	color
Adnp2	0.018677119139371926	4	547.196884092	-0.21689606339390563	#FFCCCC
Ado	0.2338979828039054	6	514.2019801779	0.06452132098488508	#C9C9C9
Adpgk	0.03708862109168957	6	444.5064208798	-0.19105086084500647	#FFCCCC
Adprh	0.014475982578173766	6	764.7694350813999	0.26740482964706286	#CCCCFF
Adprs	0.04806687482706386	4	459.6990948138	0.18251242981422253	#CCCCFF
Adrbk2	0.3178380256282741	4	173.138155587	0.11052584261200231	#C9C9C9
Adrm1	0.8982291265772432	4	337.072470894	0.045643404488196815	#C9C9C9
Adsl	0.27626261216899994	6	621.4696478524	0.1458471388835985	#C9C9C9
Adss1	0.00649728322318621	2	117.27957409989999	0.24189948254069324	#CCCCFF
Adss2	0.4227357282088981	6	455.5878399647	0.07288302012332763	#C9C9C9
Aebp1	0.6197004097422133	4	237.3335824001	-0.004034262292594211	#C9C9C9
Aebp2	0.00460519063175612	5	366.368395693	-0.2539087470443127	#FFCCCC
Aen	0.2317434082842469	4	457.2067060466	-0.10613277910407609	#C9C9C9
Afap1	0.07723178901395392	4	156.9493244672	-0.1542387968582418	#C9C9C9
Afap1l1	0.4147348434753048	2	61.527537164799995	-0.1568700647803566	#C9C9C9
Afdn	0.17795244653543565	7	808.0165819656	-0.08391573813612836	#C9C9C9
Aff1	0.2755174699144599	5	440.1398016889	0.1199776112303978	#C9C9C9
Aff4	0.0016527930349848072	5	562.4215216034	-0.3457891464606284	#FFCCCC
Afg1l	0.07711600929133386	6	578.7858136404	-0.16613122259042334	#C9C9C9
Afg3l1	5.284398934459327e-4	6	770.7448211445001	-0.1870398722699511	#FFCCCC
Afg3l2	0.0014914877348189764	5	947.8550067358	-0.2753311642653386	#FFCCCC
Aftph	0.6476499395146198	5	666.5671545604	-0.0102890421641048	#C9C9C9
Ag2	0.031966346651982794	3	228.728829797	0.20087340896389116	#CCCCFF
Aga	0.7253611807909274	5	674.9685814674	-0.022741485803305116	#C9C9C9
Agap1	0.3531040454884946	8	1130.6285088065	0.09054199648254162	#C9C9C9
Agap2	0.6408668336782152	4	386.7527119419	0.047563957925569555	#C9C9C9
Agap3	0.8818428750358858	7	512.7368460443	-0.0019156487361112046	#C9C9C9
Agfg1	0.6957854210020227	4	700.9611060618	0.11176830362588526	#C9C9C9
Agfg2	0.13434212930625375	6	580.1285070824	0.11429656835590969	#C9C9C9
Aggf1	0.6064262814385525	5	542.0378365668	0.049534909319394	#C9C9C9
Agk	0.04826914305637257	7	1268.3342259323001	-0.18768162452495984	#FFCCCC
Agl	0.13230634256672527	4	198.50172174419998	0.1562690671655102	#C9C9C9
Ago1	0.4231006037241631	4	139.9974136665	-0.0425433678877067	#C9C9C9
Ago2	0.8205805624357162	8	719.8821078101	0.0016804013349922407	#C9C9C9
Ago3	0.4520796616568841	8	952.7746404832	-0.011752757822681831	#C9C9C9
Agpat1	0.04488853553105054	8	1080.8020605618	-0.2079205993012997	#FFCCCC
Agpat2	0.45662531076759016	6	240.62872145650002	-0.03177174160736039	#C9C9C9
Agpat3	0.011945750752514535	4	261.8917102817	-0.2514519296754848	#FFCCCC
Agpat4	0.8914266073476597	6	874.7239877256	-7.150756423574557e-4	#C9C9C9
Agpat5	0.8160388608215654	7	1122.5352468433	-0.0066099707149526775	#C9C9C9
Agps	0.027098905655387827	7	526.8943409993	-0.2191412591633302	#FFCCCC
Agrn	0.2386659460698034	7	419.2598951114	-0.08606598360242262	#C9C9C9
Agtpbp1	0.4741290741552113	1	80.238767915	0.07397598932234137	#C9C9C9
Ahctf1	4.82603883164538e-4	7	722.8329024552	-0.3535722155013065	#FFCCCC
Ahcy	0.5248324287355313	5	1031.1140925848001	-0.018550329685063423	#C9C9C9
Ahcyl1	0.120133587874548	7	579.5964677628	0.1396356030965754	#C9C9C9
Ahcyl2	0.36144120967328874	8	1312.1778594246	0.07723743916246505	#C9C9C9
Ahdc1	0.09520054632547066	2	102.0121785476	-0.21836750416531583	#C9C9C9
Ahi1	0.7660701085037164	5	625.5359457525	0.024015929249012212	#C9C9C9
Ahnak	0.0027142880689010698	5	610.9670374373001	-0.2427424416178745	#FFCCCC
Ahnak2	0.03977440005952714	5	383.5917121929	0.15163088833917687	#CCCCFF
Ahsa1	0.3291235625102077	5	449.2026867316	0.1014331754632126	#C9C9C9
