acc	gene	location	topology	both
Q8VG04	Olfr478	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG42	Olfr508	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9CZ30	Ola1	Nucleolus,Nucleus,Cytoplasm		Nucleolus,Nucleus,Cytoplasm
Q60886	Olfr147	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEZ0	Olfr480	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEW6	Olfr510	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VGI5	Olfr481	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60887	Olfr148	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG03	Olfr482	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q6W049	Olfr688	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60888	Olfr149	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG05	Olfr483	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60895	Olfr150	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFD3	Olfr484	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFT4	Olfr734	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFD0	Olfr486	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60893	Olfr151	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q7TRF3	Olfr867	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG02	Olfr488	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60891	Olfr139	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9QY00	Olfr154	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFD2	Olfr490	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60878	Olfr140	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEY3	Olfr958	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q7TS48	Olfr180	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG06	Olfr491	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VF76	Olfr998	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q0VAX9	Olfr18	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VGQ7	Olfr181	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFD1	Olfr492	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFB9	Olfr183	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9JHB2	Olfr19	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEW5	Olfr493	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VGK5	Olfr50	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEX5	Olfr186	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VG07	Olfr494	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VEX6	Olfr187	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8BK62	Olfml3	Secreted		Secreted
Q8VGD6	Olfr56	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VGI1	Olfr1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60883	Olfr10	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60889	Olfr5	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60890	Olfr11	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VBW9	Olfr63	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60894	Olfr12	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VFM9	Olfr24	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8BHP7	Olfml2a	Secreted		Secreted
P34984	Olfr13	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P34986	Olfr6	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P23275	Olfr15	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3UZZ4	Olfm4	Extracellular space,Secreted,Mitochondrion		Extracellular space,Secreted,Mitochondrion
Q60892	Olfr8	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q62007	Olfr16	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q60885	Olfr9	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3V1G4	Olfml2b	Secreted		Secreted
Q60879	Olfr3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9Z1V0	Olfr49	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
O35103	Omd	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q9JKN5	Olig1	Nucleus		Nucleus
Q63912	Omg	Cell membrane	Lipid-anchor,GPI-anchor	GPI-anchor,Lipid-anchor,Cell membrane
Q9D8H7	Oma1	Mitochondrion inner membrane	Single-pass membrane protein	Mitochondrion inner membrane,Single-pass membrane protein
Q9EQW6	Olig2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q6PFG8	Olig3	Nucleus		Nucleus
Q9EQ09	Olr1	Membrane raft,Secreted,Cell membrane	Single-pass type II membrane protein,Lipid-anchor	Membrane raft,Single-pass type II membrane protein,Lipid-anchor,Secreted,Cell membrane
Q64288	Omp	Cytoplasm		Cytoplasm
P53347	Osm	Secreted		Secreted
P51879	Ocm			
Q9CWE6	Ooep	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q6XBJ3	Onecut2	Nucleus		Nucleus
E9Q5G7	Oog1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8K557	Onecut3	Nucleus		Nucleus
Q7TPX8	Oog2			
Q3UWY1	Oog3			
Q925U0	Oosp1	Secreted		Secreted
P58281	Opa1	Mitochondrion membrane,Mitochondrion,Mitochondrion inner membrane	Single-pass membrane protein	Mitochondrion membrane,Mitochondrion,Mitochondrion inner membrane,Single-pass membrane protein
Q4FZG8	Oosp2	Secreted		Secreted
Q7M750	Opalin	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
G5E8D7	Oosp3	Secreted		Secreted
Q505D7	Opa3	Mitochondrion		Mitochondrion
Q99J31	Ophn1	Cell projection,Cytoplasm,Presynapse,Synapse,Axon,Cell junction,Dendritic spine,Postsynapse,Dendrite		Cell projection,Cytoplasm,Presynapse,Synapse,Axon,Cell junction,Dendritic spine,Postsynapse,Dendrite
Q8K010	Oplah			
Q9WUK7	Opn3	Cytoplasm,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Cell membrane
Q6VZZ7	Opn5	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P51491	Opn1sw	Cell projection,Cytoplasm,Perinuclear region,Cilium,Cell membrane,Photoreceptor inner segment,Photoreceptor outer segment	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Cytoplasm,Perinuclear region,Cilium,Cell membrane,Photoreceptor inner segment,Photoreceptor outer segment
Q9QXZ9	Opn4	Cell projection,Perikaryon,Axon,Cell membrane,Dendrite	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Perikaryon,Axon,Cell membrane,Dendrite
P32300	Oprd1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P42866	Oprm1	Cell projection,Endosome,Perikaryon,Axon,Cell membrane,Dendrite	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Endosome,Perikaryon,Axon,Cell membrane,Dendrite
P33534	Oprk1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P15409	Rho	Cilium,Cell projection,Photoreceptor outer segment,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Membrane,Cilium,Photoreceptor outer segment
O35214	Rrh	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q920A0	Optc	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
P35377	Oprl1	Cytoplasmic vesicle,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasmic vesicle,Cell membrane
O35599	Opn1mw	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8K3K8	Optn	Golgi apparatus,Cytoplasm,Autophagosome,Perinuclear region,Cytoplasmic vesicle,Trans-Golgi network,Recycling endosome		Golgi apparatus,Cytoplasm,Autophagosome,Perinuclear region,Cytoplasmic vesicle,Trans-Golgi network,Recycling endosome
Q8BH10	Orai2	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q6P8G8	Orai3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9Z1N2	Orc1	Nucleus		Nucleus
Q9JK30	Orc3	Nucleus,Chromosome		Nucleus,Chromosome
Q9WUV0	Orc5	Nucleus,Chromosome		Nucleus,Chromosome
O55241	Hcrt	Synapse,Cytoplasmic vesicle,Cell junction,Rough endoplasmic reticulum		Synapse,Cytoplasmic vesicle,Cell junction,Rough endoplasmic reticulum
O88708	Orc4	Nucleus		Nucleus
Q9WUJ8	Orc6	Nucleus		Nucleus
Q60862	Orc2	Nucleus		Nucleus
Q9CPZ6	Ormdl3	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q9D8S4	Rexo2	Mitochondrion,Mitochondrion intermembrane space,Cytoplasm,Mitochondrion matrix,Nucleus		Mitochondrion,Mitochondrion intermembrane space,Cytoplasm,Mitochondrion matrix,Nucleus
Q9WVD5	Slc25a15	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q921I0	Ormdl1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q9CQZ0	Ormdl2	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q8BX94	Osbpl2	Cytosol,Cytoplasm,Cell membrane,Lipid droplet	Peripheral membrane protein	Cytoplasm,Lipid droplet,Cytosol,Cell membrane,Peripheral membrane protein
Q8CI95	Osbpl11	Golgi apparatus,Late endosome membrane,Trans-Golgi network membrane		Golgi apparatus,Late endosome membrane,Trans-Golgi network membrane
Q8K2C7	Os9	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q8VBT3	Oscar	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9DBS9	Osbpl3	Cell projection,Cytoplasm,Filopodium tip,Cytosol,Cell membrane,Nucleus membrane,Endoplasmic reticulum membrane	Peripheral membrane protein	Cell projection,Cytoplasm,Filopodium tip,Cytosol,Cell membrane,Peripheral membrane protein,Nucleus membrane,Endoplasmic reticulum membrane
Q8BHW2	Oscp1	Basal cell membrane		Basal cell membrane
Q9ER64	Osbpl5	Endoplasmic reticulum membrane	Single-pass membrane protein	Single-pass membrane protein,Endoplasmic reticulum membrane
Q9D722	Oser1			
Q8BXR9	Osbpl6	Endosome membrane,Cytoplasm,Nucleus envelope,Cytosol,Cell membrane,Endoplasmic reticulum membrane	Peripheral membrane protein	Endosome membrane,Cytoplasm,Nucleus envelope,Cytosol,Cell membrane,Peripheral membrane protein,Endoplasmic reticulum membrane
Q8VC10	Osgin1			
Q91XL9	Osbpl1a	Late endosome		Late endosome
O70458	Osmr	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q6PEB4	Osgepl1	Mitochondrion		Mitochondrion
Q91ZD1	Osr2	Nucleus		Nucleus
S4R1M9	Osbpl10	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
B9EJ86	Osbpl8	Nucleus membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Nucleus membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q8BWU5	Osgep	Nucleus,Cytoplasm		Nucleus,Cytoplasm
A2A8Z1	Osbpl9	Golgi apparatus,Late endosome membrane,Trans-Golgi network membrane		Golgi apparatus,Late endosome membrane,Trans-Golgi network membrane
Q8R000	Slc51a	Cell membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane,Endoplasmic reticulum membrane
Q99LX8	Ost4	Endoplasmic reticulum,Endoplasmic reticulum membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Endoplasmic reticulum,Endoplasmic reticulum membrane
Q9WVG7	Osr1	Nucleus		Nucleus
Q80WK2	Slc51b	Cell membrane	Single-pass membrane protein	Cell membrane,Single-pass membrane protein
Q3B7Z2	Osbp	Cytoplasm,Cytosol,Golgi apparatus membrane,Perinuclear region,Endoplasmic reticulum membrane	Peripheral membrane protein	Cytoplasm,Cytosol,Golgi apparatus membrane,Perinuclear region,Peripheral membrane protein,Endoplasmic reticulum membrane
Q62422	Ostf1	Cytoplasm		Cytoplasm
P86547	Bglap2	Secreted		Secreted
Q5QNQ6	Osbp2	Membrane	Peripheral membrane protein	Membrane,Peripheral membrane protein
P86546	Bglap	Secreted		Secreted
O54734	Ddost	Endoplasmic reticulum membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Endoplasmic reticulum membrane
P54615	Bglap3	Secreted		Secreted
Q8BGT0	Ostm1	Lysosome membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Lysosome membrane
Q78XF5	Ostc	Endoplasmic reticulum,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum,Membrane
P61364	Ostn	Secreted		Secreted
P10923	Spp1	Secreted		Secreted
P11725	Otc	Mitochondrion matrix		Mitochondrion matrix
Q4ZJM7	Otol1	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q8R448	Otos	Secreted		Secreted
O09113	Otp	Nucleus		Nucleus
Q80VM9	Otop1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q80SX5	Otop2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8K561	Otoa	Extracellular matrix,Secreted,Extracellular space,Apical cell membrane	Lipid-anchor,GPI-anchor	Lipid-anchor,Extracellular space,Secreted,Apical cell membrane,Extracellular matrix,GPI-anchor
Q6IE21	Otud6a			
Q80UF9	Otop3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9CQX0	Otub2			
Q8CB27	Yod1	Cytoplasm		Cytoplasm
Q9JIE3	Otor	Secreted		Secreted
Q8K2H2	Otud6b			
Q9CUB6	Otud1			
Q8CIV7	Ovol2	Nucleus		Nucleus
P80205	Otx1	Nucleus		Nucleus
B1AZ99	Otud3			
D3YYM0	Ovol3	Nucleus		Nucleus
Q8R554	Otud7a	Nucleus,Cytoplasm		Nucleus,Cytoplasm
O54901	Cd200	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q7M761	Ovch2	Secreted		Secreted
Q9ESF1	Otof	Synaptic vesicle membrane,Secretory vesicle,Synapse,Golgi apparatus membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Basolateral cell membrane,Presynaptic cell membrane,Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Synaptic vesicle membrane,Secretory vesicle,Synapse,Golgi apparatus membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Basolateral cell membrane,Presynaptic cell membrane,Endoplasmic reticulum membrane
Q3UU35	Ovos	Secreted		Secreted
P80206	Otx2	Nucleus		Nucleus
B2RRE7	Otud4	Nucleus,Cytoplasm		Nucleus,Cytoplasm
B2RUR8	Otud7b	Nucleus,Cytoplasm		Nucleus,Cytoplasm
P58308	Hcrtr2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D7E3	Ovca2			
Q62010	Ovgp1	Cytoplasmic vesicle,Secretory vesicle		Cytoplasmic vesicle,Secretory vesicle
F7A4A7	Otogl	Secreted		Secreted
Q3U2S4	Otud5	Nucleus		Nucleus
Q9WTJ2	Ovol1	Nucleus		Nucleus
P58307	Hcrtr1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P18894	Dao	Peroxisome		Peroxisome
Q7TQI3	Otub1	Cytoplasm		Cytoplasm
Q3TVP5	Otulinl	Nucleus envelope,Cytoplasm,Endoplasmic reticulum membrane	Peripheral membrane protein	Peripheral membrane protein,Nucleus envelope,Cytoplasm,Endoplasmic reticulum membrane
O55225	Otog	Secreted,Extracellular space,Apical cell membrane	Peripheral membrane protein	Secreted,Extracellular space,Apical cell membrane,Peripheral membrane protein
Q8BGA9	Oxa1l	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q8CE23	Qrfp	Secreted		Secreted
Q922Z0	Ddo	Peroxisome		Peroxisome
Q3UCV8	Otulin	Cytoplasm		Cytoplasm
Q9CR10	Oxld1			
Q8BQN6	Znf146	Nucleus		Nucleus
Q6IYF8	Oxgr1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VE38	Oxnad1			
O09046	Il4i1	Secretory vesicle,Secreted,Lysosome,Cytoplasmic vesicle,Acrosome		Secretory vesicle,Secreted,Lysosome,Cytoplasmic vesicle,Acrosome
P97926	Oxtr	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D404	Oxsm	Mitochondrion		Mitochondrion
Q4KMM3	Oxr1	Nucleolus,Mitochondrion,Nucleus		Nucleolus,Mitochondrion,Nucleus
Q9D2F7	Nup210l	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q8C165	Pm20d1	Secreted		Secreted
Q6P9R2	Oxsr1	Cytoplasm		Cytoplasm
Q5SW25	Pom121l2			
A3KG59	Pm20d2			
Q9CWP9	Prr23a3			
Q8CCJ9	Phf20l1			
Q9JK24	Ppp2r3c	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9Z176	Ppp2r3d			
P51576	P2rx1	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
P35383	P2ry2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9JJX6	P2rx4	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q9ESG6	P2ry14	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8K3P1	P2rx2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9JJS7	P2ry4	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
O54803	P2rx6	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q9DBN4	P33monox	Cytoplasm		Cytoplasm
Q3UR32	P2rx3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9ERK9	P2ry6	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8BFU7	P2ry10	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8CG70	P3h3	Endoplasmic reticulum		Endoplasmic reticulum
Q9Z1M0	P2rx7	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q61194	Pik3c2a	Clathrin-coated vesicle,Golgi apparatus,Cytoplasm,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane		Clathrin-coated vesicle,Golgi apparatus,Cytoplasm,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane
Q7TMJ8	Pik3ip1	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9CPV9	P2ry12	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
B1AUF7	P3r3urf			
P49650	P2ry1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
O70167	Pik3c2g	Membrane	Peripheral membrane protein	Membrane,Peripheral membrane protein
Q3V0Y1	Ppp4r3c			
Q3V1T4	P3h1	Extracellular matrix,Extracellular space,Secreted,Endoplasmic reticulum		Extracellular matrix,Extracellular space,Secreted,Endoplasmic reticulum
P21129	Slc10a3	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q60715	P4ha1	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q9D8I2	P2yr13	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9CUX1	Thap12			
Q9DCC4	Pycr3	Cytoplasm		Cytoplasm
Q2TBE6	Pi4k2a	Membrane raft,Mitochondrion,Golgi apparatus,Cell projection,Endosome,Membrane,Perikaryon,Synapse,Neuron projection,Cytoplasmic vesicle,Cell junction,Cell membrane,Presynaptic cell membrane,Dendrite,Synaptosome,Trans-Golgi network membrane	Lipid-anchor	Membrane raft,Mitochondrion,Golgi apparatus,Cell projection,Lipid-anchor,Endosome,Membrane,Perikaryon,Synapse,Neuron projection,Cytoplasmic vesicle,Cell junction,Cell membrane,Presynaptic cell membrane,Dendrite,Synaptosome,Trans-Golgi network membrane
Q6P2K6	Ppp4r3a	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus
Q8CG71	P3h2	Endoplasmic reticulum,Sarcoplasmic reticulum,Golgi apparatus		Endoplasmic reticulum,Sarcoplasmic reticulum,Golgi apparatus
Q60716	P4ha2	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q922W5	Pycr1	Mitochondrion		Mitochondrion
Q922R5	Ppp4r3b	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus
Q64143	Pik3r3			
Q6W3F0	P4ha3	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q4QQM4	Trp53i11	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8CBQ5	Pi4k2b	Cytoplasm,Membrane		Cytoplasm,Membrane
Q922Q4	Pycr2	Mitochondrion,Cytoplasm		Mitochondrion,Cytoplasm
Q5F267	Tp53i13	Cytoplasm,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasm,Cell membrane
Q8BG58	P4htm	Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Endoplasmic reticulum membrane
Q8CHY6	Gatad2a	Nucleus speckle		Nucleus speckle
Q9JJP2	Tp73	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9Z110	Aldh18a1	Mitochondrion inner membrane		Mitochondrion inner membrane
Q8VHR5	Gatad2b	Nucleus speckle		Nucleus speckle
P26450	Pik3r1			
O88898	Tp63	Nucleus		Nucleus
Q61206	Pafah1b2	Cytoplasm		Cytoplasm
O08908	Pik3r2			
Q61205	Pafah1b3	Cytoplasm		Cytoplasm
P0C871	Pla2g4b	Early endosome membrane,Cytosol,Mitochondrion membrane,Cytoplasm	Peripheral membrane protein	Early endosome membrane,Cytoplasm,Cytosol,Peripheral membrane protein,Mitochondrion membrane
Q9Z0Y2	Pla2g1b	Secreted		Secreted
Q64GA5	Pla2g4c	Cytoplasm,Cell cortex,Nucleus envelope,Cytoskeleton,Nucleus,Nucleoplasm,Spindle		Cytoplasm,Cell cortex,Nucleus envelope,Cytoskeleton,Nucleus,Nucleoplasm,Spindle
Q50L43	Pla2g4d	Cytosol,Cytoplasm,Membrane	Peripheral membrane protein	Cytosol,Cytoplasm,Membrane,Peripheral membrane protein
P47713	Pla2g4a	Cytoplasm,Golgi apparatus membrane,Nucleus envelope		Cytoplasm,Golgi apparatus membrane,Nucleus envelope
P02340	Tp53	Centrosome,Cytoplasm,PML body,Mitochondrion matrix,Cytoskeleton,Microtubule organizing center,Nucleus,Endoplasmic reticulum		Centrosome,Cytoplasm,PML body,Mitochondrion matrix,Cytoskeleton,Microtubule organizing center,Nucleus,Endoplasmic reticulum
Q50L42	Pla2g4e	Early endosome membrane,Cytoplasm,Cytosol,Cell membrane,Lysosome membrane	Peripheral membrane protein	Early endosome membrane,Cytoplasm,Cytosol,Cell membrane,Peripheral membrane protein,Lysosome membrane
Q50L41	Pla2g4f	Cytosol,Mitochondrion,Cytoplasm,Cell membrane	Peripheral membrane protein	Mitochondrion,Cytoplasm,Cytosol,Cell membrane,Peripheral membrane protein
P50580	Pa2g4	Nucleolus,Nucleus,Cytoplasm		Nucleolus,Nucleus,Cytoplasm
Q9QZT4	Pla2g2f	Secreted,Cell membrane	Peripheral membrane protein	Secreted,Cell membrane,Peripheral membrane protein
P97391	Pla2g5	Golgi apparatus,Secreted,Phagosome,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Cell membrane,Cis-Golgi network		Golgi apparatus,Secreted,Phagosome,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Cell membrane,Cis-Golgi network
Q9QXX3	Pla2g10	Secretory vesicle,Secreted,Lysosome,Cytoplasmic vesicle,Acrosome		Secretory vesicle,Secreted,Lysosome,Cytoplasmic vesicle,Acrosome
Q8BZT7	Pla2g3	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Secreted,Centriole,Recycling endosome,Cell membrane		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Secreted,Centriole,Recycling endosome,Cell membrane
P31482	Pla2g2a	Mitochondrion outer membrane,Secreted,Cell membrane	Peripheral membrane protein	Mitochondrion outer membrane,Secreted,Cell membrane,Peripheral membrane protein
P48076	Pla2g2c	Secreted		Secreted
Q9D2Q3	Paat	Mitochondrion,Cytoplasm		Mitochondrion,Cytoplasm
Q9WVF6	Pla2g2d	Secreted,Cytoplasm,Cell membrane		Secreted,Cytoplasm,Cell membrane
Q9D771	Pacc1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9QUL3	Pla2g2e	Secreted,Cytoplasm		Secreted,Cytoplasm
O70176	Adcyap1	Secreted		Secreted
Q8CCS6	Pabpn1	Nucleus,Cytoplasm,Nucleus speckle		Nucleus,Cytoplasm,Nucleus speckle
Q9DBQ7	Scyl3	Cell projection,Golgi apparatus,Cytoplasm,Lamellipodium		Cell projection,Golgi apparatus,Cytoplasm,Lamellipodium
Q9Z185	Padi1	Cytoplasm		Cytoplasm
Q99JB8	Pacsin3	Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoplasm,Cell membrane,Peripheral membrane protein
Q3TD16	Rubcnl	Cytoplasmic vesicle,Autophagosome membrane	Peripheral membrane protein	Peripheral membrane protein,Cytoplasmic vesicle,Autophagosome membrane
Q08642	Padi2	Cytoplasm		Cytoplasm
Q9DAK2	Pacrg			
Q9D3X5	Pacrgl			
