acc	gene	location	topology	both
P26151	Fcgr1	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P23591	Gfus			
P08101	Fcgr2	Cytoskeleton,Secreted,Cytoplasm,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasm,Cytoskeleton,Secreted,Cell membrane
Q9CTH6	Fcf1	Nucleolus,Nucleus		Nucleolus,Nucleus
Q3UQN2	Fcho2	Clathrin-coated pit,Membrane	Peripheral membrane protein	Clathrin-coated pit,Membrane,Peripheral membrane protein
P08508	Fcgr3	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
O70165	Fcn1	Secreted,Cell membrane	Peripheral membrane protein	Secreted,Cell membrane,Peripheral membrane protein
Q5DRQ8	Fcrlb	Endoplasmic reticulum,Cytoplasm		Endoplasmic reticulum,Cytoplasm
Q8VBV4	Fbxw7	Nucleus,Nucleoplasm,Chromosome		Nucleus,Nucleoplasm,Chromosome
Q8R4Y0	Fcrl1	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P20693	Fcer2	Cell membrane	Single-pass type II membrane protein,Lipid-anchor	Single-pass type II membrane protein,Lipid-anchor,Cell membrane
A0A0B4J1G0	Fcgr4	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q61559	Fcgrt	Endosome membrane,Cell membrane	Single-pass type I membrane protein	Endosome membrane,Single-pass type I membrane protein,Cell membrane
O70497	Fcn2	Secreted		Secreted
Q6PFY1	Fchsd1	Cytoplasmic vesicle,Perikaryon,Cell projection,Cytoplasm		Cytoplasmic vesicle,Perikaryon,Cell projection,Cytoplasm
P20489	Fcer1a	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q3USJ8	Fchsd2	Clathrin-coated pit,Cell projection,Cytoplasm,Cell membrane,Cell junction,Stereocilium,Membrane	Peripheral membrane protein	Clathrin-coated pit,Cell projection,Cytoplasm,Peripheral membrane protein,Cell membrane,Cell junction,Stereocilium,Membrane
Q8K285	Fcho1	Clathrin-coated pit,Membrane	Peripheral membrane protein	Clathrin-coated pit,Membrane,Peripheral membrane protein
Q7TMC8	Fcsk			
Q68SN8	Fcrl5	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
A1YIY0	Fcrl6	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q920A9	Fcrla	Cytoplasm		Cytoplasm
