inchi_key	conc	cells	nuclei	prp	gfp
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.63108992	GFP	888	0.991158984	1.348816285
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.63108992	GFP	751	0.967230903	0.301212484
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.63108992	GFP	867	-5.005697352	-2.153191099
	NA	GFP	838	-0.487906058	0.198904938
	NA	GFP	1047	1.143760204	-12.65261788
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.199424415	GFP	1088	-0.635890032	0.182884095
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.199424415	GFP	863	2.352373828	-0.257200648
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.199424415	GFP	765	-1.080342934	-2.644219776
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.199424415	GFP	878	0.288953496	-1.32929944
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.199424415	GFP	880	-1.201603047	-0.034836844
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.199424415	GFP	924	0.410527352	0.850406799
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.199424415	GFP	776	0.358561267	-1.109301912
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.199424415	GFP	826	0.699819213	-0.95249248500000006
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.199424415	GFP	807	1.673974667	2.307880333
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.199424415	GFP	825	1.81120718	0.659441087
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.199424415	GFP	709	0.639851481	1.156891229
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.199424415	GFP	741	2.281060385	1.590803802
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.199424415	GFP	816	0.201379674	-0.619797882
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.199424415	GFP	886	-4.253186597	0.395016028
	NA	GFP	721	0.461394286	0.145387853
	NA	GFP	1050	1.41031166	-12.88554586
