Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Membrane_Intensity_MedianIntensity_CorrPrP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,total.count_value
VH97007019,,35979,16,48,R2,,,AEOS01138800,,,-8.195331293820976,-22.492530932524687,-5.970717151957759,-5.92605672208579,57.681059799202885,63.3272178993261,14.741376635818902,13.361695108355907,-0.6010757570497663,2.2217408498690547,-4.250722472988467,1.9676734854954854,0.18078719990564687,-11.479148738832949,-13.426316336539793,-8.30180104058972,-1.011358355756705,-1.6428748793727248,988.0
VH97007019,,35979,17,3,SA,NEQSWPCDHDQINX-MRXNPFEDSA-N,SOL1208057A,AEOS01138800,20.0 ,uM ,-2.525010452264967,-1.5714489371782236,-0.2866552570989225,1.9506481752810159,-0.6925652728780888,0.30184493480211955,-0.8924638417076156,-0.5702814342703528,-0.17368923769952,-2.7472923304212915,-0.3535773488563041,-0.5829759371055481,0.18464132226557842,0.46454108641235414,-2.005383914268946,-1.9888441704949242,-1.2476122841762423,0.013465206978787976,554.0
VH97007019,,35979,17,6,SA,TXZRKKQUOSAZKF-UHFFFAOYSA-N,SOL120824C6,AEOS01138800,20.0 ,uM ,-0.28674471515179545,0.37963444483687,-0.031047975940952162,0.44244438713284645,-1.3398006211967752,-2.571379131009992,-0.9765811671743813,-1.373741634281341,2.216895849074961,-1.6001202332996458,2.4137505790333393,0.3759428121909505,0.5593369312313137,1.0500501205981643,2.018774158515652,0.29169940218353735,0.49104553127336265,-0.21766988546063235,688.0
VH97007019,,35979,17,9,SA,GXWKSXUPEFVUOO-UHFFFAOYSA-N,SOL123EE25A,AEOS01138800,20.0 ,uM ,-5.213609114666557,-9.919140273264823,5.9130680386046475,13.703024083975434,-2.684658233550616,-4.34451695167714,0.18552057152706905,1.414157630818375,-0.6835854088856502,-7.426687912326314,2.477693746019078,-3.2645390339444607,2.024897871290534,-1.927667247093535,-2.9490565747948243,1.851034618929792,-0.7258727808459091,-0.15199388133747088,476.0
VH97007019,,35979,17,12,SA,KLSRELDSEJWOAS-UHFFFAOYSA-N,SOL1238471E,AEOS01138800,20.0 ,uM ,-6.369152527088047,-11.852837917459231,1.7748856498637262,9.296563498418823,-0.2761806823524639,3.149883147634761,3.214385255454605,9.611524655407889,-0.3406261013715128,-5.1138440081724506,-3.375382260486764,-1.0054695809276264,-0.6262058670912418,-11.096250720160869,5.787723954181653,7.997462884414394,-1.2204441872046263,-1.1128999251374363,390.0
VH97007019,,35979,17,15,SA,JFUAWXPBHXKZGA-IBGZPJMESA-N,SOL124D4EED,AEOS01138800,20.0 ,uM ,-8.771131470508926,-24.513510843691755,13.268091682340291,31.23389740363453,-4.08053032190344,-5.849912998690209,3.4230381936339924,9.94325260313767,-2.6351112310925204,-8.458453128802427,-1.846776404184929,-3.091279015955616,-0.3129653116321269,-0.4566690784349609,1.1511233025087542,5.256175701784645,5.368880827655994,-0.44768896351991516,411.0
VH97007019,,35979,17,18,SA,NRJSHVPDELFHKB-UHFFFAOYSA-N,SOL1244434A,AEOS01138800,20.0 ,uM ,-5.371419567483023,-6.9532156692581415,0.12851822988946648,3.691961653332855,0.1107310472001776,4.426498949501246,2.984611575258108,7.665381293470648,-0.6684350139758879,-3.3332287027529,1.6295243002851663,0.1608823421117414,0.03725546140606402,-19.48978695854192,2.072258955459789,1.8937811986643291,-4.525369346660523,-2.6422303950286876,479.0
VH97007019,,35979,17,21,SA,OCBMECSFDVUYQN-ROUUACIJSA-N,SOL12080672,AEOS01138800,20.0 ,uM ,-0.6006064040720162,-0.2097787126113841,-1.3305567786307582,-1.2503156190814062,2.04454634957731,3.0931223004567605,-0.3841198074473726,-0.36710971129691167,-0.365889284695336,0.7667257737202258,0.6344599614795874,0.37079243910559184,0.2999539342873642,-3.957760207512815,0.5468724312164362,4.157402073331017,-2.3805301374766943,-0.6460627716079689,809.0
VH97007019,,35979,17,24,SA,WJUNQSYQHHIVFX-UHFFFAOYSA-N,SOL124A379E,AEOS01138800,20.0 ,uM ,-9.519400546479408,-16.011348132890344,-0.6201686181488265,11.994661805138428,-3.9627488192260323,0.8699831263996356,3.1098434863582867,21.367519807144543,-3.0985383582722106,10.582398363621214,-12.23021399855921,9.34108646153028,-2.0922936354814343,-0.6919143983966586,-5.70764465960006,-5.103469211326784,-3.463995643320633,-0.03283952144557057,234.0
VH97007019,,35979,17,27,SA,RQVLGMREYUFLPQ-UHFFFAOYSA-N,SOL123FBFB6,AEOS01138800,20.0 ,uM ,-9.782898066383918,-16.85200293180714,0.5905485317964942,15.820562176869004,-3.7994091901504765,0.9166622553944312,1.9511226204398964,15.028349659036142,-0.9481093131386966,-3.017321882577205,-13.224406566246472,1.047577273320506,-1.2488317293144684,-1.7905990875960434,-3.3022413158151473,5.138837270118183,-3.0573610568898184,1.151122608847923,260.0
