WellsConcentration,inchi_key,single-cell hit for GFP,non-tox? for GFP,GFP.PrPko.count_ratio for GFP,membrane PrP-/GFP+ hit for GFP,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_71767115,venn_x_coord_71767115,venn_y_coord_71767115,venn_cat_1791869146,venn_x_coord_1791869146,venn_y_coord_1791869146
1,CGWBJJZOKGZCSJ-UHFFFAOYSA-N,0,1,-0.158245317477451,0,0.0637125093136433,0.0178718981682203,-0.361678205733544,0.0583744623877385,CCCOc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2CCN2CCOCC2)cc1,,N-Ac Lysine competitive CREBBP/EP300 inhibitor,CREBBP,CHEMBL3963965,119081416,,,,,0.5,1,,0.2,0.5
1,ISWRGOKTTBVCFA-UHFFFAOYSA-N,0,1,-0.785267453513732,0,1.27149331054327,-0.251264772193467,0.243733945710611,-0.491247817296933,Cc1ccc(=O)n(-c2ccccc2)c1,53179-13-8,TNF alpha synthesis inhibitor;TGFb pathway inhibitor;antifibrotic,TNF,CHEMBL1256391,40632,MoA public,40632,HF-23-AI36,,0.5,1,,0.2,0.5
1,ZCOLJUOHXJRHDI-CMWLGVBASA-N,0,1,-2.08676349322102,0,8.11169060748446,0.26033288459983,5.5992786718052,0.202110142177453,,,,,,,,,,,0.5,1,,0.2,0.5
1,QZUKGDYPSXQBSQ-VXKWHMMOSA-N,0,1,-1.38185454761033,0,1.2130729276528,0.727579501007803,1.36255474367907,0.349057199984774,COc1cc([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ncc1C#N,1255206-07-5,KCNJ1 gene inhibitor;KCNJ1 inhibitor,KCNJ1,CHEMBL3612810,59568656,MoA public,59568656,UD-49-HQ53,,0.5,1,,0.2,0.5
1,LBZZVBOHWAZYRL-UHFFFAOYSA-N,0,1,-0.044954157785909,0,2.08927499118529,-0.0823884528978337,0.46921631658506,-0.283073326631382,CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1,1092499-82-5,Jak2 Inhibitors;Jak1 Inhibitors,JAK1,CHEMBL1089773,46865529,,,,,0.5,1,,0.2,0.5
1,CPRAGQJXBLMUEL-UHFFFAOYSA-N,0,1,-0.629114855133141,0,0.346281472136635,-2.40558832856366,-0.182253829853875,-1.93312247954766,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,663619-89-4,PI3Kbeta inhibitor,PIK3CB,CHEMBL1972466,9907093,,,,,0.5,1,,0.2,0.5
1,RSRUDTPYRBLHEO-UHFFFAOYSA-N,0,1,0.842477019170459,0,-0.71784776106899,0.684981283559909,-0.681010342002434,0.364523024784355,CN1CCc2cccc(Cl)c2CC1,73943-10-9,alpha2-Adrenoceptor Antagonists,ADRA1B,CHEMBL123349,123981,,,,,0.5,1,,0.2,0.5
1,JTVCWQUNPMKMER-BQYLNSIHSA-N,0,1,-1.1459395342517,0,0.981835474395747,0.181436701812447,0.703699439216478,0.16695109027958,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,313664-40-3,SPPL1 inhibitor,HM13,CHEMBL255473,44449123,MoA public,44449123,CD-49-HJ53,,0.5,1,,0.2,0.5
1,HHZLKORDNNRTRS-UHFFFAOYSA-N,0,1,1.8839804485501,0,0.190243877012515,-0.0266880333971034,-0.191066535551833,-0.251364498045269,Cc1ccn2cc(-c3ccc(OCCCN4CCCCC4)cc3)nc2c1,365565-36-2,HRH3 antagonist,HRH3,CHEMBL49532,10291489,,,,,0.5,1,,0.2,0.5
1,WROHEWWOCPRMIA-UHFFFAOYSA-N,0,1,1.75231990008147,0,-0.269122785950601,-0.111688372836464,-0.674063507901001,-0.0848833978934969,CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,720690-73-3,Histamine H3 Receptor Inverse Agonists;Histamine H3 Receptor Antagonists,HRH3,CHEMBL517140,9798547,MoA public,9798547,QA-94-NE53,,0.5,1,,0.2,0.5
1,RQMVVBIHNXFXPW-UHFFFAOYSA-N,0,1,0.319545457880971,0,0.0265159967569847,-1.10716427894798,0.742243873751574,-1.10359250204588,NCc1c(-c2ccc(Cl)cc2Cl)cn2c(N3CCSCC3)cnc2c1N,,dipeptidyl-peptidase IV (DPP4) inhibitor;dipeptidyl-peptidase II (DPP7) inhibitor;Fibroblast Activation Protein alpha subunit (FAP) Inhibitor,DPP4,,57906610,,,,,0.5,1,,0.2,0.5
1,XRXDAJYKGWNHTQ-UHFFFAOYSA-N,0,1,0.727221352726089,0,-0.439484888004269,-0.0715628235577727,0.162641263379748,-0.423197073732768,c1ccc2nc(N3CCNCC3)ccc2c1,1245646-84-7,5-HT3 receptor agonist selective against 5-HT1B,HTR3B,CHEMBL1256794,5011,MoA public,5011,WD-90-PD45,,0.5,1,,0.2,0.5
1,PJZPDFUUXKKDNB-KNINVFKUSA-N,0,1,-1.12557177451946,0,0.0492692836348834,0.314445423535428,0.534656020737666,0.106682553989344,,,,,,,,,,,0.5,1,,0.2,0.5
1,PSLXNEVDCJSLEL-UHFFFAOYSA-N,0,1,1.47444031282195,0,-1.1058609520098,-0.343345752909571,-0.469461402519044,-0.534161603443455,Cc1c(NC(=O)c2ccc(C(C)(C)O)cc2F)cc(F)cc1-c1ncnc2[nH]c(C3=CCOCC3)cc12,1418127-84-0,reversible BTK inhibitor,BTK,CHEMBL3917989,71230655,MoA public,71230655,ZE-75-IG54,,0.5,1,,0.2,0.5
1,QJBRZZUZDREZIP-UHFFFAOYSA-N,0,1,0.0913367315638939,0,-0.122129325463908,-0.394172326586418,-0.0281711007550564,-0.367696402373713,CC(=O)NC(CSC12CCC3(O)CC(C)=CC(=O)C3(O)C1(O)C(=O)c1cccc(O)c1C2=O)C(=O)O,136286-49-2,Endothelin Receptor Antagonists,EDNRA,,10481759,,,,,0.5,1,,0.2,0.5
1,GBTYEOLOCAQPPZ-MHZLTWQESA-N,0,1,0.167766894000206,0,-0.340218978677518,-0.356981802696505,-0.181884864777896,0.0430925198398662,COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)c(OC)c1)C(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1,,Integrin binder;Cell Adhesion Inhibitors;Integrin alpha4beta1 (VLA-4) Antagonists,ITGA4,CHEMBL316723,9852055,MoA public,9852055,IF-63-AO60,,0.5,1,,0.2,0.5
1,MPZNLZJMWPDRGB-UHFFFAOYSA-N,0,1,1.26777273879159,0,0.133123681487726,0.185763976718363,0.362777702336096,0.194509451721758,CCc1cnc(N2CCC(Oc3ccc(CC4CCN(S(C)(=O)=O)CC4)cc3Cl)CC2)nc1,1190979-58-8,GPR119 agonist,GPR119,,44237714,,,,,0.5,1,,0.2,0.5
1,VFBGXTUGODTSPK-BAQGIRSFSA-N,0,1,4.92525175136042,1,-4.51768268086851,-0.558464942496323,-3.49246525341366,-0.500377779184708,O=C1Nc2ccc3ncsc3c2/C1=C/c1c[nH]cn1,608512-97-6,PKR Inhibitor,EIF2AK2,CHEMBL235641,6490494,,,,C,4,1.5,B,6.2,2.5
1,PAZXLRUFYLWCKB-UHFFFAOYSA-N,0,1,0.643836518470085,0,-0.207930132815836,0.267026842890114,-0.263733545573826,0.0270081899459254,C#CCOc1ccc2nc(C(=O)c3ccc(C(C)C)cc3)nc(-c3ccc(C(C)C)cc3)c2c1,,Parathyroid Hormone Secretion Stimulants,CASR,,16050391,MoA public,16050391,LA-66-RT74,,0.5,1,,0.2,0.5
1,FMACPFBCGJVLLZ-UHFFFAOYSA-N,0,1,1.75111132613575,0,-2.0789970214628,-1.02657745495673,-2.67824168375207,-1.23186734930977,Cc1cc(C)c(C(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)cn1,,Calcium Release-Activated Channels (CRAC) Blockers,ORAI2,CHEMBL485411,9888801,MoA public,9888801,LD-48-CY61,,0.5,1,,0.2,0.5
1,GZUITABIAKMVPG-UHFFFAOYSA-N,1,1,4.13863353547538,0,-1.74382679564964,0.163034429643555,-2.71122430559881,0.279819734225025,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1020061-04-4,ENG Expression Enhancers;ACVRL1 Expression Enhancers;Selective Estrogen Receptor Modulators (SERM),ENG,CHEMBL1116,5035,,,,AB,4,6.2,A,2,2.5
1,XZTUSOXSLKTKJQ-CESUGQOBSA-N,0,1,-0.240943009430174,0,-0.149287276079276,0.583310026377358,-0.480777481538601,0.521760112967036,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,143-62-4,Cardiac glycoside,ATP1A1,CHEMBL1453,4369270,,,,,0.5,1,,0.2,0.5
1,MSTOPLWRMNGDRS-INIZCTEOSA-N,0,1,-2.52167429220509,0,5.29589359368426,0.26404715743705,4.03827493434359,0.321217121985692,CCc1cc(NC(=O)N[C@H](CO)CCN2CC(Oc3ccc(Cl)cc3)C2)n(C)n1,,Chemokine CCR3 Antagonists,CCR3,,10287886,MoA public,10287886,NA-83-FK70,,0.5,1,,0.2,0.5
1,YWYNFBNIDCUJSP-UHFFFAOYSA-N,0,1,1.44267932193578,0,-0.861483153492273,0.307642138460828,-1.38399484230841,-0.252896458672217,,,,,,,MoA public,1858253,IE-30-KW32,,0.5,1,,0.2,0.5
1,UCTWMZQNUQWSLP-VIFPVBQESA-N,0,1,0.132128576523452,0,-0.917817867575897,0.687283310946439,-1.12431990520587,0.912245780806015,CNC[C@H](O)c1ccc(O)c(O)c1,104655-05-2,Adrenergic Agonists,ADRA1B,CHEMBL1200818,5815,MoA public,5816,RF-02-FC28,,0.5,1,,0.2,0.5
1,FLKSZJUIPRZEET-UHFFFAOYSA-N,0,1,0.0748472414367604,0,-1.65980202649106,-0.314667673470039,-1.6833785085292,-0.280707784183669,CC(C)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CCN(C)CC1,,Cathepsin S Inhibitors,CTSS,,,MoA public,,TC-75-XR61,,0.5,1,,0.2,0.5
1,RTIXKCRFFJGDFG-UHFFFAOYSA-N,0,1,-1.91116172943749,0,0.554798712160127,-0.656668724460794,0.475407004620552,-0.724277623206789,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,480-40-0,"Apoptosis Inducers;Breast Cancer-Resistant Protein (BCRP;ABCG2) Inhibitors;Antiinflammatory Drugs;Antioxidants;""Apoptosis Inducers;Breast Cancer-Resistant Protein (BCRP;ABCG2) Inhibitors;Antiinflammatory Drugs;Antioxidants""",ABCG2,CHEMBL117,5281607,MoA public,5281607,HE-18-IL45,,0.5,1,,0.2,0.5
1,QPCDCPDFJACHGM-UHFFFAOYSA-N,0,1,0.469636484394924,0,-1.29246875241652,-0.273976025010298,-1.67929333040732,-0.482968573867479,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,1004765-76-7,Nitric Oxide Scavengers,PGD,CHEMBL780,3053,,,,,0.5,1,,0.2,0.5
1,XUKUURHRXDUEBC-KAYWLYCHSA-N,0,1,-1.92609377150028,0,1.50576652188214,0.0472152235485317,1.32040419676998,0.1127974452656,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,110862-48-1,HMG-CoA Reductase Inhibitors,HMGCR,CHEMBL1487,60823,MoA public,60823,LC-69-UC51,,0.5,1,,0.2,0.5
1,HCBULGQMULJTCM-ZSOIEALJSA-N,0,1,-2.21660059523185,0,-0.368779650679696,-1.39212626031446,-0.221681990568037,-1.04694868232629,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2ccccc21,24418-86-8,Sphingosine Kinase Inhibitors,SPHK2,CHEMBL1478023,5793932,MoA public,5793932,LB-00-NP55,,0.5,1,,0.2,0.5
1,REAXQOXPGHLTBE-UHFFFAOYSA-N,0,1,-0.0819488781279957,0,-0.117296488748485,0.480105137981275,-0.503108332254782,0.627459159376499,,,,,,,,,,,0.5,1,,0.2,0.5
1,PFZTXTPVKAGHPW-GOSISDBHSA-N,1,0,19.0863704449735,0,-8.12734525721272,-7.34343438134793,-9.97966747025107,-7.48863685531557,COc1cc(CCc2cc(NC(=O)c3ccc(N4CCN(C)[C@H](C)C4)cc3)n[nH]2)cc(OC)c1,1201670-87-2,FGFR1 Inhibitors;Angiogenesis Inhibitors,FGFR1,,44546567,,,,AB,4,6.2,A,2,2.5
1,SGEIEGAXKLMUIZ-XUVDNFPMSA-N,0,1,-0.692348987297022,0,0.0585145073200676,0.51721302892668,0.125326833937105,1.18871996724579,[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,289893-25-0,HSP70 co-inducer or chaperone,HSPA1A,CHEMBL2107726,9568077,,,,,0.5,1,,0.2,0.5
1,GOLXRNDWAUTYKT-UHFFFAOYSA-N,0,1,0.00295626849267443,0,1.07214550135774,0.148524838509341,0.467065646825133,-0.431010102294029,O=C(O)CCc1c[nH]c2ccccc12,10265-77-7,Free Radical Scavengers;beta-Amyloid (Abeta) Protein Neurotoxicity Inhibitors,APP,CHEMBL207225,3744,MoA public,3744,ZA-14-XK92,,0.5,1,,0.2,0.5
1,UTOXGQNLFXWCMS-QGZVFWFLSA-N,0,1,-3.11982547700177,0,1.22390622034263,1.16366229512009,0.545794449061024,1.52232531430297,CS(=O)(=O)N1CCC(c2noc([C@H](CCCC3CCCCC3)CC(=O)NO)n2)CC1,,Procollagen C-Proteinase Inhibitors,BMP1,,10203781,MoA public,10203781,SB-94-ZA83,,0.5,1,,0.2,0.5
1,PJSOHQYOAVQLMP-UHFFFAOYSA-N,0,1,1.10715115536307,0,-0.0884126422698185,1.28778655159939,-0.594372446224058,1.19514429928042,Cc1cc(-c2cc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)on1,,Phosphatidylinositol 3-Kinase gamma (PI3Kgamma) Inhibitors,PIK3CG,,118470204,,,,,0.5,1,,0.2,0.5
1,TWWFAXQOKNBUCR-UHFFFAOYSA-N,0,1,-0.335969349250904,0,0.330006274431408,-0.0155675298943956,0.0705535619136277,-0.422949645278216,O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,183721-15-5,ADORA3 antagonist,ADORA3,CHEMBL88147,393595,,,,,0.5,1,,0.2,0.5
1,NFACJZMKEDPNKN-UHFFFAOYSA-N,0,1,1.28893778207458,0,0.67361611438611,1.14849452537842,-0.140741797605723,1.5183766889042,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,26373-97-7,Butyrylcholinesterase Inhibitors,BCHE,CHEMBL167150,5853,,,,,0.5,1,,0.2,0.5
1,BXNMTOQRYBFHNZ-UHFFFAOYSA-N,0,1,0.054587108513317,0,0.0172446781197065,-0.797976170970141,-0.383711358082313,-1.22723396956986,CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,144875-48-9,Interferon Inducers;TLR7 Receptor Agonists;TLR8 Receptor Agonists;TNF-alpha Production Inducers,TLR7,CHEMBL383322,159603,MoA public,159603,RA-07-CW93,,0.5,1,,0.2,0.5
1,MEEJEEVTIVAOJP-UHFFFAOYSA-N,0,1,2.40007089324252,0,-1.63394182643006,-0.801382256048551,-1.57191210720788,-1.11819097127438,N#CC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,193542-65-3,CCR1 antagonist;Chemokine US28 Receptor Inverse Agonists,CCR1,CHEMBL34166,9889700,MoA public,9889700,OD-07-NJ52,,0.5,1,,0.2,0.5
1,RLFKILXOLJVUNF-UHFFFAOYSA-N,0,1,4.31698384191049,0,-2.69225812276639,-1.82498462624291,-2.28769910330687,-2.63244409188444,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,111841-85-1,GABA(A) BZ Site Receptor Partial Agonists,GABRA1,CHEMBL454095,65914,MoA public,65914,YF-57-HO38,,0.5,1,,0.2,0.5
