Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Memb.intensity_unclassified.count_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.Memb.intensity_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Memb.intensity_unclassified.median_value,total.count_value
VH97007017,,35977,14,17,SA,GMGMDWSPSKXMJH-OAQYLSRUSA-N,SOL12083003,AEOS01138799,0.019913724356280322 ,uM ,0.9090132526107771,-0.9975152915463502,2.523155368432699,1.3601405700633882,0.43619842894301036,-0.5003426441748975,1.6555687663174132,1.0351465997880218,0.5230860623819091,0.5170173107345818,-1.498198502096935,-0.047244108875864825,-0.47199926161531147,0.6440361420067184,-0.3082799499808978,-0.2594371419089793,-0.45090606378889925,-1.984716555301748,1.3539192594827318,930.0
VH97007017,,35977,14,20,SA,GGPZCOONYBPZEW-UHFFFAOYSA-N,SOL12488050,AEOS01138799,0.019913724356280322 ,uM ,1.3445641487598448,-0.058855462297586446,0.47304803561166153,-0.3650367326948384,3.5965005524888825,1.8839198693743358,1.0553416629585182,0.4748737891545471,2.504105947507491,1.4554077500739977,-0.04407585613084023,1.0766036628311864,-0.384065815989968,0.4509861740594263,1.0224617424360087,-0.1015706956251767,0.5831696127495851,-1.855472789839612,1.8211551915678752,949.0
VH97007017,,35977,14,23,SA,QPKKAIMODKGHRH-UHFFFAOYSA-N,SOL12514077,AEOS01138799,0.019913724356280322 ,uM ,0.35463890294625644,-0.6672097690736892,1.2021793624037067,0.9592295813077275,-0.7959825649518129,-1.0717933778176874,-1.0580518090115636,-1.0989087848790886,-0.15336521393688388,-0.6857315725463655,0.021097549082417552,0.4355643624972567,0.16621850446267214,-0.9223691864969664,1.09345455276435,-1.2818446431953023,0.44837141972490413,1.3279407892839978,1.3365188395172356,870.0
VH97007017,,35977,14,26,SA,KASDHRXLYQOAKZ-XDSKOBMDSA-N,SOL123C866B,AEOS01138799,0.019913724356280322 ,uM ,-0.23481666596715567,-1.0286386706422312,1.3147203933100897,1.4764351232619708,-1.1979923679349527,-1.1999058550690491,-2.2535901864915813,-2.1055181937447722,2.903449093920198,-1.8736644845834274,0.5652676533207426,0.6585535304476368,-1.2304699834031103,1.1529163806105942,0.9169519982440798,0.49251797630813404,-0.3022069443753508,-2.5064860485873197,1.9945621993400655,832.0
VH97007017,,35977,14,29,SA,STRAIBOPIVXLQO-UHFFFAOYSA-N,SOL121F2EBC,AEOS01138799,0.019913724356280322 ,uM ,-0.1774153348495301,-2.163819065269048,2.195155561665437,2.1487559043329316,0.7614852650456283,0.24550527737538996,0.5110608345364008,0.32038732344944326,3.363875367029021,-1.1049902371803078,-0.9784349822085402,-0.6267449835826934,0.3471965671782935,-2.3551872172025687,-0.5943075447966314,-1.469545720334684,1.0016121164983238,0.7757125702544416,0.6328299562777541,847.0
VH97007017,,35977,14,32,SA,ULFUJLFTRWWLPO-UHFFFAOYSA-N,SOL124C945E,AEOS01138799,0.019913724356280322 ,uM ,1.947865711733297,1.1060128990582374,-0.5813530012108931,-1.2675136580646336,-0.32478428385432373,-1.1699247881836246,-2.6400145357720093,-2.792075509563857,1.136891596016219,0.3055310536722455,0.4422358612621793,-0.23344764050182337,-1.3651570512310616,2.8541344820254997,0.04212888864837182,-0.3508102318724232,0.5382216472254746,1.1791041469666632,1.132666584750826,922.0
VH97007017,,35977,14,35,SA,JRSGZNKDLJKFKK-XMMPIXPASA-N,SOL1239C0BB,AEOS01138799,0.019913724356280322 ,uM ,2.0913698335913646,-1.5846330094395993,2.775481114068794,1.151064642391538,2.7463621401715543,0.9065407196634555,2.1339460784246995,0.8654675427498506,3.092896208600019,-1.8933681403943403,-1.5894278654715757,-0.1448196726165056,0.3256075833500012,1.0437245025858946,-0.654531851197156,0.9121505195719896,-1.059032194921414,-0.6014023999668535,0.6717408075124046,995.0
VH97007017,,35977,14,38,SA,RQFYFNAGNBUGFC-UHFFFAOYSA-N,SOL1245ECB2,AEOS01138799,0.019913724356280322 ,uM ,-0.016257747892050964,-1.6758504066943474,0.9151179990666116,0.728301116861755,4.000654864365947,3.313269577607601,1.6288773910920458,1.6779017368875326,0.8418330665652991,-0.015532756416449623,0.6312609422108943,-0.22454740582732938,0.49658800046412815,0.9492504966943132,-1.1976457121618154,-0.6459420297287064,0.35215702443475266,0.08903036787211852,0.8465065331625743,793.0
VH97007017,,35977,14,41,SA,CEUMAXLRGBKFQP-UHFFFAOYSA-N,SOL1247B1C7,AEOS01138799,0.019913724356280322 ,uM ,0.2691861793991339,-0.3663086061389419,0.36972315219840696,0.12637427555554473,1.1837611900317655,0.8483042138853822,-1.7406548276108458,-1.6192353263803092,2.2679203315021654,-2.3383125081061134,-0.18609422147781451,-0.227458283609622,-1.0173917333245885,-1.460287172673682,-0.5426905050715531,-0.86892267478491,-0.05737668836281857,0.020228556849168067,-0.33273367488057426,790.0
VH97007017,,35977,14,44,SA,JDEAFXJUIKOFAH-UHFFFAOYSA-N,SOL121310DD,AEOS01138799,0.019913724356280322 ,uM ,0.0902720372323228,-0.5341619245150127,0.5764007232183583,0.47662419994067234,0.6331429464116097,0.4309723787312644,-0.9993075102356234,-0.9607121882922486,0.7929455611988899,-1.1239699732368744,0.24644962347417354,-0.13386617420690552,-0.5165858894734606,-0.7161733332297173,0.5570822314617028,-0.7454160905950519,1.7904013878700018,-1.747062633837782,0.425863111799008,774.0
