inchi_key,compound_key,compound_moa_key,moa,comment,user521,creation_date,nvs_proprietary,member_key,cset_key,member_date,smiles,compound_target_key,gene_id,gene_symbol,gene_name,tax_id,tax_name,modality
WCUZTSOTIQHYNL-UFYCRDLUSA-N,524.0,2479.0,Cathepsin C (Dipeptidyl Peptidase I) Inhibitors,,,2016-05-06 11:07:54.951687,,1410.0,1.0,2014-01-02 00:00:00.000000,CC[C@H](N)C(=O)NNC(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](Cc1cccc(F)c1)C(N)=O,1050.0,1075.0,CTSC,cathepsin C,9606.0,Homo sapiens,inhibitor/antagonist
ZNRAIJHKWVDFLC-UHFFFAOYSA-N,3611.0,6506.0,Orexin 2 receptor antagonist,,,2016-05-06 11:07:54.951687,,5876.0,1.0,2014-06-09 20:11:10.391887,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)cnc2-c2cccc(F)c2)nc1OC,6501.0,3062.0,HCRTR2,hypocretin receptor 2,9606.0,Homo sapiens,inhibitor/antagonist
UYUHRKLITDJEHB-UHFFFAOYSA-N,2124.0,4985.0,SIK1 gene inhibitor,,,2016-05-06 11:07:54.951687,,6179.0,1.0,2014-10-08 13:52:56.165920,COc1ccc(N(C(=O)Nc2c(C)cccc2C)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c(OC)c1,4103.0,150094.0,SIK1,salt inducible kinase 1,9606.0,Homo sapiens,inhibitor/antagonist
UYUHRKLITDJEHB-UHFFFAOYSA-N,2124.0,4985.0,SIK1 gene inhibitor,,,2016-05-06 11:07:54.951687,,6179.0,1.0,2014-10-08 13:52:56.165920,COc1ccc(N(C(=O)Nc2c(C)cccc2C)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c(OC)c1,4104.0,23235.0,SIK2,salt inducible kinase 2,9606.0,Homo sapiens,inhibitor/antagonist
UYUHRKLITDJEHB-UHFFFAOYSA-N,2124.0,4985.0,SIK1 gene inhibitor,,,2016-05-06 11:07:54.951687,,6179.0,1.0,2014-10-08 13:52:56.165920,COc1ccc(N(C(=O)Nc2c(C)cccc2C)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c(OC)c1,4105.0,23387.0,SIK3,SIK family kinase 3,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7705.0,Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine Kinase Receptor (EML4- ALK) Inhibitors,,jenkije1,2017-10-18 17:17:33.194732,,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,9935.0,238.0,ALK,ALK receptor tyrosine kinase,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7704.0,ALK Tyrosine Kinase Receptor Inhibitors,,jenkije1,2017-10-18 17:17:33.194732,,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,9935.0,238.0,ALK,ALK receptor tyrosine kinase,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7705.0,Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine Kinase Receptor (EML4- ALK) Inhibitors,,jenkije1,2017-10-18 17:17:21.650982,,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,9934.0,27436.0,EML4,EMAP like 4,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7704.0,ALK Tyrosine Kinase Receptor Inhibitors,,jenkije1,2017-10-18 17:17:21.650982,,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,9934.0,27436.0,EML4,EMAP like 4,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7705.0,Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine Kinase Receptor (EML4- ALK) Inhibitors,"Shown to stabilize FECH in thermal proteome profiling, which is in agreement with its side effect of phototox.",jenkije1,2021-03-08 19:57:29.548300,False,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,18708.0,2235.0,FECH,ferrochelatase,9606.0,Homo sapiens,inhibitor/antagonist
KDGFLJKFZUIJMX-UHFFFAOYSA-N,4956.0,7704.0,ALK Tyrosine Kinase Receptor Inhibitors,"Shown to stabilize FECH in thermal proteome profiling, which is in agreement with its side effect of phototox.",jenkije1,2021-03-08 19:57:29.548300,False,17739.0,1.0,2017-10-18 17:20:16.257487,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,18708.0,2235.0,FECH,ferrochelatase,9606.0,Homo sapiens,inhibitor/antagonist
IBAQFPQHRJAVAV-ULAWRXDQSA-N,695.0,2814.0,alpha-Glucosidase Inhibitors,,,2016-05-06 11:07:54.951687,,2028.0,1.0,2014-01-02 00:00:00.000000,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1388.0,2548.0,GAA,"glucosidase alpha, acid",9606.0,Homo sapiens,
IBAQFPQHRJAVAV-ULAWRXDQSA-N,695.0,2813.0,SGLT-3 Activators,,,2016-05-06 11:07:54.951687,,2028.0,1.0,2014-01-02 00:00:00.000000,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1388.0,2548.0,GAA,"glucosidase alpha, acid",9606.0,Homo sapiens,
IBAQFPQHRJAVAV-ULAWRXDQSA-N,695.0,2814.0,alpha-Glucosidase Inhibitors,,,2016-05-06 11:07:54.951687,,2028.0,1.0,2014-01-02 00:00:00.000000,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1389.0,6527.0,SLC5A4,solute carrier family 5 member 4,9606.0,Homo sapiens,
IBAQFPQHRJAVAV-ULAWRXDQSA-N,695.0,2813.0,SGLT-3 Activators,,,2016-05-06 11:07:54.951687,,2028.0,1.0,2014-01-02 00:00:00.000000,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1389.0,6527.0,SLC5A4,solute carrier family 5 member 4,9606.0,Homo sapiens,
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,2130.0,4991.0,K(ATP) Channel Blockers,,,2016-05-06 11:07:54.951687,,16.0,1.0,2014-01-02 00:00:00.000000,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,4122.0,10060.0,ABCC9,ATP binding cassette subfamily C member 9,9606.0,Homo sapiens,inhibitor/antagonist
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,2130.0,4991.0,K(ATP) Channel Blockers,,,2016-05-06 11:07:54.951687,,16.0,1.0,2014-01-02 00:00:00.000000,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,4123.0,6833.0,ABCC8,ATP binding cassette subfamily C member 8,9606.0,Homo sapiens,inhibitor/antagonist
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,2130.0,4991.0,K(ATP) Channel Blockers,,,2016-05-06 11:07:54.951687,,16.0,1.0,2014-01-02 00:00:00.000000,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,4121.0,3767.0,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,9606.0,Homo sapiens,inhibitor/antagonist
BDSYKGHYMJNPAB-LICBFIPMSA-N,2699.0,5630.0,Antiinflammatory Drugs,,,2016-05-06 11:07:54.951687,,4776.0,1.0,2014-01-02 00:00:00.000000,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5090.0,2908.0,NR3C1,nuclear receptor subfamily 3 group C member 1,9606.0,Homo sapiens,stimulator/agonist
RSKMQDIAPGOWDL-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,2787.0,Growth Hormone Secretagogues,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1496.0,2693.0,GHSR,growth hormone secretagogue receptor,9606.0,Homo sapiens,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,2786.0,GHS Receptor Agonists,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1496.0,2693.0,GHSR,growth hormone secretagogue receptor,9606.0,Homo sapiens,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,4638.0,Growth hormone secretagogue receptor (ghrelin) agonist,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1496.0,2693.0,GHSR,growth hormone secretagogue receptor,9606.0,Homo sapiens,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,2787.0,Growth Hormone Secretagogues,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1497.0,2688.0,GH1,growth hormone 1,9606.0,Homo sapiens,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,2786.0,GHS Receptor Agonists,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1497.0,2688.0,GH1,growth hormone 1,9606.0,Homo sapiens,
KVLLHLWBPNCVNR-SKCUWOTOSA-N,727.0,4638.0,Growth hormone secretagogue receptor (ghrelin) agonist,,,2016-05-06 11:07:54.951687,,2130.0,1.0,2014-01-02 00:00:00.000000,CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,1497.0,2688.0,GH1,growth hormone 1,9606.0,Homo sapiens,
DPBURRXPRULCQN-UHFFFAOYSA-N,3622.0,6516.0,Motilin Receptor Antagonist,,,2016-05-06 11:07:54.951687,False,5781.0,1.0,2014-05-27 14:45:08.615753,O=C(Nc1ccccc1)N(CC1=CC(Cc2ccccc2)(NC(=O)C(Cl)(Cl)Cl)CC1)c1cccc(OCCN2CCOCC2)c1,6515.0,2862.0,MLNR,motilin receptor,9606.0,Homo sapiens,inhibitor/antagonist
QEHVTUCLCBXQIC-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,
CQASZSQCUYWGME-CYBMUJFWSA-N,3665.0,6554.0,SHP2 allosteric inhibitor,,,2016-05-06 11:07:54.951687,,6387.0,1.0,2015-02-04 18:06:32.736770,Nc1nccc(Sc2cnc(N3CCC4(CCC[C@H]4N)CC3)cn2)c1Cl,6571.0,5781.0,PTPN11,protein tyrosine phosphatase non-receptor type 11,9606.0,Homo sapiens,allosteric inhibitor
XMBSZPZJLPTFMV-UHFFFAOYSA-N,3396.0,6316.0,N-Myristoyltransferase Inhibitors,,,2016-05-06 11:07:54.951687,,6020.0,1.0,2014-05-20 18:44:55.661268,Cc1nn(C)c(C)c1NS(=O)(=O)c1c(Cl)cc(-c2ccnc(N3CCNCC3)c2)cc1Cl,6244.0,4836.0,NMT1,N-myristoyltransferase 1,9606.0,Homo sapiens,inhibitor/antagonist
KHPKQFYUPIUARC-UHFFFAOYSA-N,3195.0,6135.0,Cyclooxygenase-2 Inhibitors,,,2016-05-06 11:07:54.951687,,3966.0,1.0,2014-01-02 00:00:00.000000,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,6014.0,5743.0,PTGS2,prostaglandin-endoperoxide synthase 2,9606.0,Homo sapiens,inhibitor/antagonist
ALDJQYJOXDCKFF-BHDDXSALSA-N,3223.0,6162.0,Renin Inhibitors,,,2016-05-06 11:07:54.951687,,4048.0,1.0,2014-01-02 00:00:00.000000,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)C1,6047.0,5972.0,REN,renin,9606.0,Homo sapiens,inhibitor/antagonist
LXBIFEVIBLOUGU-DPYQTVNSSA-N,2414.0,1238.0,"an oral pharmacologic chaperone, stabilizes specific mutant forms of α-galactosidase, increasing enzyme trafficking to lysosomes",,,2016-05-06 11:07:54.951687,,6431.0,1.0,2014-12-17 11:11:33.697608,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,4607.0,2717.0,GLA,galactosidase alpha,9606.0,Homo sapiens,stabilizer
LXBIFEVIBLOUGU-DPYQTVNSSA-N,2414.0,1501.0,Pharmacological Chaperones,,,2016-05-06 11:07:54.951687,,6431.0,1.0,2014-12-17 11:11:33.697608,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,4607.0,2717.0,GLA,galactosidase alpha,9606.0,Homo sapiens,stabilizer
LXBIFEVIBLOUGU-DPYQTVNSSA-N,2414.0,1238.0,"an oral pharmacologic chaperone, stabilizes specific mutant forms of α-galactosidase, increasing enzyme trafficking to lysosomes",https://en.wikipedia.org/wiki/Migalastat,canhast1,2019-04-26 18:04:38.564345,False,6431.0,1.0,2014-12-17 11:11:33.697608,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,17993.0,2717.0,GLA,galactosidase alpha,9606.0,Homo sapiens,inhibitor/antagonist
LXBIFEVIBLOUGU-DPYQTVNSSA-N,2414.0,1501.0,Pharmacological Chaperones,https://en.wikipedia.org/wiki/Migalastat,canhast1,2019-04-26 18:04:38.564345,False,6431.0,1.0,2014-12-17 11:11:33.697608,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,17993.0,2717.0,GLA,galactosidase alpha,9606.0,Homo sapiens,inhibitor/antagonist
