WellsConcentration,inchi_key,single-cell hit for GFP-GPI,non-tox? for GFP-GPI,GFP.PrPko.count_ratio for GFP-GPI,membrane PrP-/GFP+ hit for GFP-GPI,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_1578008438,venn_x_coord_1578008438,venn_y_coord_1578008438
1,JFLQYBGXCJOSFW-UHFFFAOYSA-N,0,1,-0.346465716069335,0,-0.464902466958333,-0.488049066650567,-0.580257938629847,-0.582133811786673,CCOC(=O)C1=CN(Cc2ccccc2)c2ccccc2C1c1ccc(OC)c(OC)c1,,,ABCB1,CHEMBL3593417,122181886,,,,,0.2,0.5
1,DBCKRBGYGMVSTI-UHFFFAOYSA-N,0,1,0.441195858422335,0,-0.158512948421583,-0.51016732411623,-0.716326935340919,-0.535961182252093,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,154189-24-9,Dual acting dopamine D2 / beta-2 adrenoceptor agonist;Dopamine D2 Agonists;beta2-Adrenoceptor Agonists,ADRB2,CHEMBL557641,183811,MoA public,183811,XC-63-RZ65,,0.2,0.5
1,FASLEVZZILWGJD-UHFFFAOYSA-N,0,1,4.9442946601753,0,-1.43625744941129,-4.38617828364431,-0.20108425688891,-3.56661973883092,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1[N+](=O)[O-],,Inhibitors of Signal Transduction Pathways;Checkpoint Kinase 1 (Chk1) Inhibitors,CHEK1,CHEMBL540992,11664426,MoA public,11664426,PD-94-WO47,,0.2,0.5
1,IZAOBRWCUGOKNH-OAHLLOKOSA-N,0,1,1.15533105691554,0,-0.808440157142793,-0.0757156525556592,-1.14382474380867,0.12922183654233,C[C@H](c1ccc(F)cc1CCCC(=O)O)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,290315-45-6,gamma-Secretase Inhibitors;Antiamyloidogenic Agents,PSEN1,CHEMBL247471,11249248,MoA public,11249248,GD-96-AK08,,0.2,0.5
1,MVCQKIKWYUURMU-UHFFFAOYSA-N,0,1,-0.329352441584515,0,0.449808973868715,-0.224968331462052,-0.328764089952379,-0.211332840333573,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,282526-98-1,Triacylglycerol Lipase (Hormone-Sensitive Lipase) Inhibitors;Pancreatic Triacylglycerol Lipase Inhibitors,LIPC,CHEMBL2103825,9952916,MoA public,9952916,WB-37-ML71,,0.2,0.5
1,FOIVPCKZDPCJJY-JQIJEIRASA-N,0,1,-0.411821164179257,0,0.319498380893844,0.931131206016452,0.550089926339026,1.02144503499974,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,71441-28-6,Retinoid RAR Agonists,RARA,CHEMBL275311,5289501,MoA public,5289501,GC-21-ZX32,,0.2,0.5
1,FZNCGRZWXLXZSZ-CIQUZCHMSA-N,0,1,0.4015661171899,0,0.200962036964491,-0.197183895059342,-0.62848314256782,-0.217382494005615,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,83480-29-9,alpha-Glucosidase Inhibitors;inhibits digestion and absorption of glucose from intestine,GAA,CHEMBL476960,444020,MoA public,444020,SB-41-ES79,,0.2,0.5
1,KWMBIIQCLUIHDI-UHFFFAOYSA-N,0,1,-0.00340304524094251,0,-0.651967116429501,0.289679906345615,-1.46965134923554,0.577532950885327,CCOC(=O)C(C)Oc1cccc2c(=O)n(CC(=O)Nc3ccc4c(c3)OCCO4)ccc12,868224-64-0,NR5A1 inhibitor;steroidogenic factor 1 inhibitor,NR5A1,CHEMBL259067,4076092,MoA public,4076092,SD-09-IU93,,0.2,0.5
1,HUUSXLKCTQDPGL-UHFFFAOYSA-N,0,1,1.15089314333601,0,-0.13949900888016,0.0462040567779996,-0.558005894762297,-0.0284306461432883,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,210826-40-7,NRLP3 inflammasome inhibitor;inhibits NLRP3 inflammasome (exact target/mechanism unknown). Shows reduction of IL-1B in vivo in EAE expt models of MS.,NLRP3,CHEMBL3183703,9910393,,,,,0.2,0.5
1,GAEUGYYJXUTOSY-UHFFFAOYSA-N,0,1,2.62190820993561,0,-1.34466423235629,-1.26187266453307,-2.2026729734753,-1.02241067961397,CNc1cc(Nc2nccc(Nc3cccc(OC)c3S(N)(=O)=O)n2)ccc1C,,ALK Inhibitors;ZAP70 Kinase Inhibitors,ZAP70,,11589703,,,,,0.2,0.5
